Autoroute entrée	Péage entrée	Classe 1	Classe 5
MONTREUIL AUX LIONS	JARNY	21.5	13.1
JARNY	MONTREUIL AUX LIONS	21.5	13.1
MONTREUIL AUX LIONS	CLERMONT EN ARGONNE	16.3	10.4
CLERMONT EN ARGONNE	MONTREUIL AUX LIONS	16.3	10.4
MONTREUIL (REIMS)	CHATEAU-THIERRY	1.9	1.0
CHATEAU-THIERRY	MONTREUIL (REIMS)	1.9	1.0
MONTREUIL (REIMS)	DORMANS	4.2	2.6
DORMANS	MONTREUIL (REIMS)	4.2	2.6
MONTREUIL (REIMS)	REIMS OUEST (THILLOIS)	6.5	4.1
REIMS OUEST (THILLOIS)	MONTREUIL (REIMS)	6.5	4.1
MONTREUIL (REIMS)	REIMS SUD	6.3	4.1
REIMS SUD	MONTREUIL (REIMS)	6.3	4.1
MONTREUIL (REIMS)	CHALONS / LA VEUVE (REIMS)	9.8	6.0
CHALONS / LA VEUVE (REIMS)	MONTREUIL (REIMS)	9.8	6.0
MONTREUIL (REIMS)	CHALONS / LA VEUVE (METZ)	10.3	6.0
CHALONS / LA VEUVE (METZ)	MONTREUIL (REIMS)	10.3	6.0
MONTREUIL (REIMS)	ST ETIENNE AU TEMPLE	10.3	6.0
ST ETIENNE AU TEMPLE	MONTREUIL (REIMS)	10.3	6.0
MONTREUIL (REIMS)	ST MENEHOULD	12.6	7.9
ST MENEHOULD	MONTREUIL (REIMS)	12.6	7.9
MONTREUIL (REIMS)	VOIE SACREE	15.6	9.4
VOIE SACREE	MONTREUIL (REIMS)	15.6	9.4
MONTREUIL (REIMS)	VERDUN	18.0	10.5
VERDUN	MONTREUIL (REIMS)	18.0	10.5
MONTREUIL (REIMS)	FRESNES EN WOEVRE	18.0	10.5
FRESNES EN WOEVRE	MONTREUIL (REIMS)	18.0	10.5
MONTREUIL (REIMS)	JARNY	19.1	11.6
JARNY	MONTREUIL (REIMS)	19.1	11.6
MONTREUIL (REIMS)	CLERMONT EN ARGONNE	14.1	8.2
CLERMONT EN ARGONNE	MONTREUIL (REIMS)	14.1	8.2
CHATEAU-THIERRY	MONTREUIL AUX LIONS	4.2	2.5
MONTREUIL AUX LIONS	CHATEAU-THIERRY	4.2	2.5
CHATEAU-THIERRY	MONTREUIL (REIMS)	1.9	1.0
MONTREUIL (REIMS)	CHATEAU-THIERRY	1.9	1.0
CHATEAU-THIERRY	DORMANS	2.1	1.4
DORMANS	CHATEAU-THIERRY	2.1	1.4
CHATEAU-THIERRY	REIMS OUEST (THILLOIS)	4.5	2.8
REIMS OUEST (THILLOIS)	CHATEAU-THIERRY	4.5	2.8
CHATEAU-THIERRY	REIMS SUD	4.2	2.8
REIMS SUD	CHATEAU-THIERRY	4.2	2.8
CHATEAU-THIERRY	CHALONS / LA VEUVE (REIMS)	7.8	4.8
CHALONS / LA VEUVE (REIMS)	CHATEAU-THIERRY	7.8	4.8
CHATEAU-THIERRY	CHALONS / LA VEUVE (METZ)	8.3	5.1
CHALONS / LA VEUVE (METZ)	CHATEAU-THIERRY	8.3	5.1
CHATEAU-THIERRY	ST ETIENNE AU TEMPLE	8.3	5.1
ST ETIENNE AU TEMPLE	CHATEAU-THIERRY	8.3	5.1
CHATEAU-THIERRY	ST MENEHOULD	10.4	6.7
ST MENEHOULD	CHATEAU-THIERRY	10.4	6.7
CHATEAU-THIERRY	VOIE SACREE	13.4	8.2
VOIE SACREE	CHATEAU-THIERRY	13.4	8.2
CHATEAU-THIERRY	VERDUN	15.7	9.2
VERDUN	CHATEAU-THIERRY	15.7	9.2
CHATEAU-THIERRY	FRESNES EN WOEVRE	15.7	9.2
FRESNES EN WOEVRE	CHATEAU-THIERRY	15.7	9.2
CHATEAU-THIERRY	JARNY	17.3	10.7
JARNY	CHATEAU-THIERRY	17.3	10.7
CHATEAU-THIERRY	CLERMONT EN ARGONNE	12.2	7.5
CLERMONT EN ARGONNE	CHATEAU-THIERRY	12.2	7.5
DORMANS	MONTREUIL AUX LIONS	6.4	4.1
MONTREUIL AUX LIONS	DORMANS	6.4	4.1
DORMANS	MONTREUIL (REIMS)	4.2	2.6
MONTREUIL (REIMS)	DORMANS	4.2	2.6
DORMANS	CHATEAU-THIERRY	2.1	1.4
CHATEAU-THIERRY	DORMANS	2.1	1.4
DORMANS	REIMS OUEST (THILLOIS)	2.2	1.4
REIMS OUEST (THILLOIS)	DORMANS	2.2	1.4
DORMANS	REIMS SUD	2.1	1.4
REIMS SUD	DORMANS	2.1	1.4
DORMANS	CHALONS / LA VEUVE (REIMS)	5.4	3.5
CHALONS / LA VEUVE (REIMS)	DORMANS	5.4	3.5
DORMANS	CHALONS / LA VEUVE (METZ)	5.9	3.7
CHALONS / LA VEUVE (METZ)	DORMANS	5.9	3.7
DORMANS	ST ETIENNE AU TEMPLE	5.9	3.7
ST ETIENNE AU TEMPLE	DORMANS	5.9	3.7
DORMANS	ST MENEHOULD	8.2	5.2
ST MENEHOULD	DORMANS	8.2	5.2
